unique_id,AutoMLP-median,AutoNHITS-median,AutoLSTM-median,AutoGRU-median,SeasonalNaive
M480,0.10259235652123871,0.1769902945728645,0.039345315173897194,0.039335552268407493,0.11161555593524031
M481,0.031057426071440908,0.050846762156037284,0.0012478783594436296,0.0012640245704003909,0.009773351059108558
M482,0.021287090431293124,0.032558247461302384,0.0024999981092235024,0.0025241334152887426,0.010878265095003253
M483,0.01730544085415089,0.029327161789009907,0.0015888606566032443,0.001719886722263162,0.010459499448714356
M484,0.023605037764430636,0.017293111509920092,0.023229971568653442,0.02132245886069493,0.07543291804203116
M485,0.043207214935695154,0.053843761757706,0.06314693901364149,0.06085002356472533,0.09363780753464157
M486,0.05011369369611448,0.030398701553275245,0.034885072768466856,0.035652426601858495,0.06107594942713219
M487,0.03423908926717545,0.05344251542201184,0.009250475057878455,0.009283267427823769,0.01978411732373436
M488,0.043963810850228185,0.09709017436257322,0.027237856655199528,0.025837234624459162,0.020020821437722245
M489,0.0335781646954515,0.03338494977155809,0.028755197347144115,0.0264139881818793,0.017574733493128054
M49,0.08145741331343415,0.09596328711150363,0.0820117960429119,0.08396346919670498,0.160692640702492
M490,0.03784976279401795,0.04335511301548007,0.05076056861997442,0.05337144420256589,0.0663825750142167
M491,0.03495154251406194,0.03282362002842474,0.023576709505247203,0.02461119651248198,0.015852077973807804
M492,0.09716725943549598,0.1967393845422123,0.0372646411438699,0.037661368253274395,0.043648463061400085
M493,0.034773275863513815,0.04440790655364669,0.009126235895104015,0.008700607512473901,0.08763056500050713
M494,0.012865544498637714,0.014727919181363331,0.014154158585426513,0.01509814623931674,0.017878409372197195
M495,0.05059619193925571,0.06078674117651123,0.02428220511207287,0.025204594314705064,0.022814617199922355
M496,0.03628124249723029,0.04010988856170778,0.02104841226192286,0.02249761675174737,0.01321191251415077
M497,0.0681076282626558,0.07267797746747932,0.03632345952123113,0.04097896602753961,0.04674838224972619
M498,0.014233032707826691,0.01604009284039711,0.01699902568717535,0.017489322921538833,0.016489791792733296
M499,0.03693369081213322,0.05238750634594496,0.04200269288651475,0.03926835281899637,0.017212056778278622
M5,0.07927074338632374,0.15040591953833368,0.06136088052127461,0.06143737237141362,0.14498923111684708
M50,0.09907710629543597,0.16439144218446505,0.11800259137618078,0.10997198184995159,0.16036582948940398
M500,0.07401791709564916,0.11110774713836709,0.0068122484282021134,0.011100649386422745,0.04135762599068448
M501,0.03217402157273224,0.03766456115288221,0.02466846995021174,0.02403064912981384,0.02886222016081461
